ножницы|scissors
отбор|selection
сообщаться|be communicated
разлить|to spill
сгинуть|disappear
настойчивый|persistent
латинский|latin
педагогический|pedagogic
отреагировать|react
галка|jackdaw
грунт|soil
управиться|manage
подставлять|to put
дамский|ladies
скудный|meager
охапка|armful
садик|small garden
причинить|to cause
отсек|compartment
перемещение|moving
мечтательный|dreamy
отыскивать|find
крапива|nettle
подполье|underground
лор|ent
юла|spinning top
голенище|bootleg
раздвинуть|to open
резиденция|residence
разливать|to spill
торт|cake
ива|willow
страничка|page
буйный|violent
кабак|tavern
деликатный|delicate
замужем|married
лауреат|laureate
улавливать|to catch on
пронести|to smuggle
переделать|to redo
поделить|to divide
запускать|launch
комендатура|commandants office
прилечь|to lie down
квалификация|qualification
покачивать|rock
венец|crown
безмятежный|serene
требовательный|demanding
дубинка|bludgeon
головокружение|dizziness
дружка|best man
березка|birch
бич|whip
согнутый|bent
статистика|statistics
выдумывать|make up
ввалиться|fall in
багажник|trunk
ощущаться|make itself felt
украдкой|stealthily
цвести|bloom
неудачник|unlucky person
преследование|pursuit
монстр|monster
колода|block
кайф|cool
подбрасывать|toss up
бесстрашный|fearless
объектив|object-glass
пушка|cannon
призрачный|shadowy
передохнуть|take a short break
горох|pea
заглушить|drown out
ножик|knife
непроизвольный|involuntary
кожный|skin
воз|cart
благородство|nobility
стресс|stress
приземлиться|land
тронутый|touched
починить|repair
ловля|catching
разрешаться|be allowed
неполный|incomplete
похудеть|lose weight
гражданка|citizen
заснеженный|snow-covered
производительность|performance
аквариум|aquarium
декан|dean
повязать|knit
засуетиться|begin to bustle
пластиковый|plastic
нутро|innermost
совершение|accomplishment
усиливать|intensify
приватизация|privatisation
публично|publicly
девятнадцать|nineteen
элегантный|elegant
сущий|existing
сформировать|form
заложник|hostage
копченый|smoked
подружиться|to befriend
клоун|clown
повышаться|rise
прилив|high tide
рукоять|handle
несомненный|undoubted
забивать|to clog
хвостик|small tail
равенство|equality
контролер|inspector
довоенный|pre-war
послушный|obedient
галочка|tick
раздать|distribute
помиловать|pardon
губерния|province
озарить|light up
политрук|political instructor
присмотреться|to look closely
расстроиться|be upset
грохнуть|to crash
сверх|over
рождать|give birth
продержаться|last
дружески|friendly
рыхлый|loose
метла|broom
детектив|detective
нависнуть|hang
разок|one time
грядка|garden bed
тщетно|vainly
маркиза|marchioness
выступ|protrusion
компас|compass
усилить|strengthen
бетон|concrete
огарок|stub
напоить|have a drink
повседневный|daily
предоставление|providing
отлететь|rebound
свистнуть|to whistle
повеселеть|cheer up
скрежет|scrape
толковый|explanatory
шнурок|lace
одуванчик|dandelion
ромашка|camomile
лошадиный|horse
зазвонить|to start ringing
прекращение|ceasing
прощальный|farewell
сказываться|tell on
полировать|to polish
шиворот|collar
расплачиваться|pay off
анализировать|analyse
вычислить|calculate
переплет|binding
крайность|extremes
керосин|kerosene
четверка|four
разведывательный|reconnaissance
полено|log
просунуть|force through
ежегодно|yearly
певица|singer
нехватка|shortage
холст|canvas
знатный|noble
банка|jar
узник|prisoner
отключить|cut off
блистать|to glow
угнетать|oppress
рассудок|reason
обрасти|to be overgrown
ухмыляться|smirk
футляр|case
облачко|cloudlet
аренда|rent
плескаться|lap
воистину|truly
вонять|to stink
помятый|wrinkled
отворить|open
мадонна|madonna
правдивый|truthful
тура|rook
продолжительный|prolonged
травить|to bully
тактик|tactician
поселение|settling
прекращаться|to stop
свадебный|wedding
позавидовать|envy
алмаз|diamond
теперешний|present
пехотинец|infantryman
житься|to be able to live
девчата|girls
вдаль|far
вкрадчивый|insinuating
резной|carved
милосердие|goodwill
безобразный|ugly
выслушивать|listen
выпь|bittern
получка|pay
недалекий|narrow minded
лирический|lyrical
антисоветский|anti-soviet
разинуть|open
ориентироваться|to orient
маячить|loom
недолгий|brief
иль|or
каковой|which
ругань|bad language
затягиваться|prolonged
доспех|armor
просвещение|enlightenment
лубянка|fsb headquarters
ураган|hurricane
лазить|climb
плацдарм|bridgehead
скатиться|roll down
методика|method
оберегать|guard
конвоир|escort
блатной|thug
устье|mouth
сказаться|affect
системный|systemic
предусматривать|foresee
почернеть|blacken
трепет|trembling
ожесточенный|embittered
голодать|starve
уйма|very large quantity
излучение|radiation
финка|finnish woman
низенький|low
отправка|sending
мотаться|dangle
изуродовать|disfigure
льдина|block of ice
сукин|bitch
лом|crowbar
правящий|ruling
обойма|holder
застолье|feast
захлопать|begin to clap
восстанавливать|to restore
оскорблять|to insult
полноценный|of full value
уборщица|maid
фирменный|branded
портьера|portiere
крокодил|crocodile
почет|honour
плата|pay
инстинктивный|instinctive
воровство|stealing
угу|yep
сменяться|to be switched
ноша|burden
морально|morally
произвол|tyranny
интенсивный|intensive
нагреть|heat up
репрессия|repression
пощупать|feel
курточка|small jacket
затеряться|be mislaid
подносить|to raise up
